,link,hour,qlength,congestion,nvehicles
456,31012,8-9,130.18899999999996,0.39444444444444443,71
457,31013,8-9,125.519,0.4043478260869566,62
458,31014,8-9,444.774,0.35789473684210527,51
459,31015,8-9,483.074,0.4592592592592593,62
460,31016,8-9,68.22899999999993,0.5921052631578948,75
461,31017,8-9,522.014,0.46329113924050624,61
462,31018,8-9,522.014,0.264,44
463,31019,8-9,413.92400000000004,0.3636363636363637,50
464,31020,8-9,530.014,0.34285714285714286,64
465,31021,8-9,118.519,0.555,74
466,31022,8-9,419.784,0.34520547945205476,63
467,31023,8-9,438.904,0.3272727272727273,54
468,31024,8-9,413.98400000000004,0.31875,51
469,31025,8-9,460.744,0.3902912621359223,67
470,31026,8-9,413.934,0.4530612244897959,74
471,31027,8-9,413.974,0.27529411764705886,39
472,31028,8-9,118.519,0.40961538461538466,71
473,31029,8-9,38.61900000000003,0.4944723618090452,82
474,31030,8-9,6.788999999999987,0.23431952662721892,33
475,31031,8-9,522.014,0.30297029702970296,51
476,31032,8-9,420.504,0.3550295857988166,50
477,31033,8-9,419.764,0.3333333333333333,45
478,31034,8-9,413.944,0.2724324324324324,42
479,31035,8-9,522.014,0.2765217391304348,53
480,31036,8-9,528.154,0.4133971291866029,72
481,31037,8-9,413.854,0.4631578947368421,66
482,31038,8-9,530.014,0.4363636363636364,60
483,31039,8-9,7.5190000000000055,0.17454545454545453,24
484,32001,8-9,152.8359999999999,0.24120603015075381,40
485,32002,8-9,19.626999999999953,0.29655172413793107,43
486,32003,8-9,337.57699999999994,0.20327868852459016,31
487,32004,8-9,355.2969999999999,0.25583756345177666,42
488,32005,8-9,343.7869999999999,0.38372093023255816,55
489,32006,8-9,75.41700000000003,0.29419354838709677,38
490,32007,8-9,146.7059999999999,0.27954545454545454,41
491,32008,8-9,239.85599999999994,0.24,36
492,32009,8-9,390.70699999999994,0.3066666666666667,46
493,32010,8-9,146.67599999999993,0.2104265402843602,37
494,32011,8-9,7.826999999999998,0.21333333333333332,32
495,32012,8-9,171.59599999999995,0.16666666666666666,30
496,32013,8-9,337.43699999999995,0.2543478260869565,39
497,32014,8-9,146.4459999999999,0.32280701754385965,46
498,32015,8-9,349.7169999999999,0.28888888888888886,39
499,32016,8-9,146.31599999999992,0.2289473684210526,29
500,32017,8-9,24.666999999999916,0.19746835443037974,26
501,32018,8-9,368.07699999999994,0.234,39
502,32019,8-9,146.90599999999995,0.3781818181818182,52
503,32020,8-9,153.29599999999994,0.20892857142857144,39
504,32021,8-9,337.61699999999996,0.1725,23
505,32022,8-9,385.18699999999995,0.2465753424657534,45
506,32023,8-9,337.52699999999993,0.4545454545454546,75
507,32024,8-9,83.60699999999997,0.3,48
508,32025,8-9,183.98599999999993,0.22135922330097085,38
509,32026,8-9,185.77599999999995,0.3183673469387755,52
510,32027,8-9,44.406999999999925,0.3811764705882353,54
511,32028,8-9,76.36699999999996,0.24230769230769228,42
512,32029,8-9,184.13599999999997,0.20502512562814074,34
513,32030,8-9,355.14699999999993,0.3337278106508876,47
514,32031,8-9,146.38599999999997,0.16633663366336635,28
515,32032,8-9,13.677000000000021,0.25562130177514797,36
516,32033,8-9,356.77699999999993,0.4444444444444444,60
517,32034,8-9,350.14699999999993,0.3762162162162162,58
518,32035,8-9,337.77699999999993,0.20347826086956522,39
519,32036,8-9,153.23599999999988,0.20669856459330144,36
520,32037,8-9,13.636999999999944,0.23157894736842105,33
521,32038,8-9,83.457,0.14545454545454548,20
522,32039,8-9,0.0,0.03272727272727273,3
