period,inter,direc,cycle,type,pollutant,emi
morning1,Dunbar,SB,17,52,Total Energy,0.0
morning1,Dunbar,SB,17,52,Atmospheric CO2,0.0
morning1,Dunbar,SB,17,52,Nitrous Oxide,0.0
morning1,Dunbar,SB,17,52,Methane,0.0
morning1,Dunbar,SB,17,52,Total Gaseous Hydrocarbons,0.0
morning1,Dunbar,SB,17,42,Total Energy,0.0
morning1,Dunbar,SB,17,42,Atmospheric CO2,0.0
morning1,Dunbar,SB,17,42,Nitrous Oxide,0.0
morning1,Dunbar,SB,17,42,Methane,0.0
morning1,Dunbar,SB,17,42,Total Gaseous Hydrocarbons,0.0
morning1,Dunbar,SB,17,21,Total Energy,3029095388.442
morning1,Dunbar,SB,17,21,Atmospheric CO2,217734.41138380003
morning1,Dunbar,SB,17,21,Nitrous Oxide,0.8455118595325002
morning1,Dunbar,SB,17,21,Methane,5.237146942028098
morning1,Dunbar,SB,17,21,Total Gaseous Hydrocarbons,42.726833149
morning1,Dunbar,SB,16,61,Total Energy,431403530.45187
morning1,Dunbar,SB,16,61,Atmospheric CO2,31777.62646159299
morning1,Dunbar,SB,16,61,Nitrous Oxide,0.02588816190218999
morning1,Dunbar,SB,16,61,Methane,0.5223276003079397
morning1,Dunbar,SB,16,61,Total Gaseous Hydrocarbons,3.6495235249
morning1,Dunbar,SB,16,52,Total Energy,1161607067.0
morning1,Dunbar,SB,16,52,Atmospheric CO2,84812.0401
morning1,Dunbar,SB,16,52,Nitrous Oxide,0.40790660499999987
morning1,Dunbar,SB,16,52,Methane,3.191446846700001
morning1,Dunbar,SB,16,52,Total Gaseous Hydrocarbons,31.284987799999996
morning1,Dunbar,SB,16,42,Total Energy,254832757.68999997
morning1,Dunbar,SB,16,42,Atmospheric CO2,18761.632053
morning1,Dunbar,SB,16,42,Nitrous Oxide,0.054373128980000025
morning1,Dunbar,SB,16,42,Methane,0.778203202747
morning1,Dunbar,SB,16,42,Total Gaseous Hydrocarbons,6.774091832000001
morning1,Dunbar,SB,16,21,Total Energy,4531592072.6
morning1,Dunbar,SB,16,21,Atmospheric CO2,325735.34824870003
morning1,Dunbar,SB,16,21,Nitrous Oxide,1.1850226961221002
morning1,Dunbar,SB,16,21,Methane,7.079127014025699
morning1,Dunbar,SB,16,21,Total Gaseous Hydrocarbons,58.71348750600001
morning1,Dunbar,SB,15,61,Total Energy,0.0
morning1,Dunbar,SB,15,61,Atmospheric CO2,0.0
morning1,Dunbar,SB,15,61,Nitrous Oxide,0.0
morning1,Dunbar,SB,15,61,Methane,0.0
