,link,hour,qlength
514,32031,8-9,146.38599999999997
515,32032,8-9,13.677000000000021
516,32033,8-9,356.77699999999993
517,32034,8-9,350.14699999999993
518,32035,8-9,337.77699999999993
519,32036,8-9,153.23599999999988
520,32037,8-9,13.636999999999944
521,32038,8-9,83.457
522,32039,8-9,0.0
523,41001,8-9,577.136
524,41002,8-9,565.136
525,41003,8-9,564.5559999999999
526,41004,8-9,558.3259999999999
527,41005,8-9,564.8259999999999
528,41006,8-9,578.156
529,41007,8-9,624.3159999999999
530,41008,8-9,629.8259999999999
531,41009,8-9,157.558
532,41010,8-9,613.906
533,41011,8-9,570.1759999999999
534,41012,8-9,583.396
535,41013,8-9,576.406
536,41014,8-9,607.8059999999999
537,41015,8-9,619.4459999999999
538,41016,8-9,558.376
539,41017,8-9,631.3159999999999
540,41018,8-9,631.3159999999999
541,41019,8-9,558.276
542,41020,8-9,658.9459999999999
543,41021,8-9,558.5959999999999
544,41022,8-9,588.7559999999999
545,41023,8-9,558.3159999999999
546,41024,8-9,596.2459999999999
547,41025,8-9,605.7559999999999
548,41026,8-9,394.9329999999999
549,42001,8-9,72.09799999999996
550,42002,8-9,84.048
551,42003,8-9,99.78800000000001
552,42004,8-9,79.168
553,42005,8-9,66.93799999999999
554,42006,8-9,53.048
555,42007,8-9,255.493
556,42008,8-9,42.75600000000003
557,42009,8-9,63.95799999999997
558,42010,8-9,70.84799999999996
559,42011,8-9,71.20799999999997
560,42012,8-9,45.906000000000006
561,42013,8-9,45.906000000000006
562,42014,8-9,51.097999999999956
563,42015,8-9,88.70799999999997
564,42016,8-9,243.173
565,42017,8-9,51.27800000000002
566,42018,8-9,73.53800000000001
567,42019,8-9,51.27800000000002
568,42020,8-9,48.96799999999996
569,42021,8-9,73.24799999999999
570,42022,8-9,73.24799999999999
571,42023,8-9,113.97800000000001
572,42024,8-9,243.173
573,42025,8-9,60.63799999999998
574,42026,8-9,60.63799999999998
575,51001,8-9,55.74799999999999
576,51002,8-9,26.629999999999995
577,51003,8-9,73.918
578,51004,8-9,86.47800000000001
579,51005,8-9,56.077999999999975
580,51006,8-9,73.52800000000002
581,51007,8-9,50.428
582,51008,8-9,69.488
583,51009,8-9,69.76799999999997
584,51010,8-9,69.76799999999997
585,51011,8-9,25.810000000000002
586,51012,8-9,31.22999999999996
587,51013,8-9,42.428
588,51014,8-9,75.59800000000001
589,51015,8-9,74.55799999999999
590,51016,8-9,45.298
591,51017,8-9,52.428
592,51018,8-9,66.56799999999998
593,51019,8-9,62.548
594,51020,8-9,62.428
595,51021,8-9,12.549999999999955
596,51022,8-9,7.829999999999984
597,51023,8-9,30.94999999999999
598,51024,8-9,31.629999999999995
599,51025,8-9,31.039999999999964
600,51026,8-9,19.810000000000002
601,51027,8-9,7.949999999999989
602,51028,8-9,20.939999999999998
603,51029,8-9,34.908000000000015
604,51030,8-9,34.908000000000015
605,51031,8-9,54.05799999999999
606,51032,8-9,73.81799999999998
607,51033,8-9,26.95999999999998
608,51034,8-9,14.049999999999955
609,51035,8-9,7.279999999999973
610,51036,8-9,47.928
611,51037,8-9,77.96800000000002
612,51038,8-9,26.849999999999966
613,51039,8-9,26.879999999999995
614,51040,8-9,44.75799999999998
615,51041,8-9,44.75799999999998
616,51042,8-9,63.26800000000003
617,51043,8-9,19.0
618,51044,8-9,26.049999999999955
619,51045,8-9,90.20799999999997
620,51046,8-9,91.12799999999999
621,12001,9-10,7.7309999999999945
622,12002,9-10,192.22299999999996
623,12003,9-10,25.750999999999976
624,12004,9-10,192.253
625,12005,9-10,374.703
626,12006,9-10,7.370999999999981
627,12007,9-10,1.6709999999999354
628,12008,9-10,192.23299999999995
629,12009,9-10,374.703
630,12010,9-10,198.373
631,12011,9-10,31.770999999999958
632,12012,9-10,31.61099999999999
633,12013,9-10,374.703
634,12014,9-10,6.9809999999999945
635,12015,9-10,7.8209999999999695
636,12016,9-10,198.58299999999997
637,12017,9-10,229.363
638,12018,9-10,382.703
639,12019,9-10,7.190999999999974
640,12020,9-10,205.16299999999995
641,12021,9-10,8.100999999999999
642,12022,9-10,44.450999999999965
643,12023,9-10,192.26299999999998
644,12024,9-10,249.80299999999997
645,12025,9-10,25.160999999999945
646,12026,9-10,117.57099999999997
647,12027,9-10,192.39299999999997
648,12028,9-10,192.22299999999996
649,12029,9-10,8.07099999999997
650,12030,9-10,0.0
651,12031,9-10,0.0
652,12032,9-10,13.560999999999979
653,12033,9-10,197.673
654,12034,9-10,205.063
655,12035,9-10,382.703
656,12036,9-10,0.0
657,21001,9-10,338.72499999999997
658,21002,9-10,338.79499999999996
659,21003,9-10,339.60499999999996
660,21004,9-10,362.42499999999995
661,21005,9-10,384.69499999999994
662,21006,9-10,333.3449999999999
663,21007,9-10,416.42499999999995
664,21008,9-10,333.145
665,21009,9-10,13.363999999999919
666,21010,9-10,32.063999999999965
667,21011,9-10,375.37499999999994
668,21012,9-10,333.155
669,21013,9-10,132.54399999999998
670,21014,9-10,345.53499999999997
671,21015,9-10,118.98399999999992
672,21016,9-10,339.3449999999999
673,21017,9-10,333.3349999999999
674,21018,9-10,390.275
675,21019,9-10,111.98399999999992
676,21020,9-10,333.03499999999997
677,21021,9-10,143.68399999999997
678,21022,9-10,19.473999999999933
679,21023,9-10,31.394000000000005
680,21024,9-10,333.49499999999995
681,21025,9-10,333.265
682,21026,9-10,339.60499999999996
683,21027,9-10,432.57499999999993
684,21028,9-10,363.78499999999997
685,21029,9-10,333.07499999999993
686,21030,9-10,339.56499999999994
687,21031,9-10,345.755
688,21032,9-10,345.755
689,21033,9-10,137.47399999999993
690,21034,9-10,62.073999999999955
691,21035,9-10,62.073999999999955
692,21036,9-10,136.70399999999995
693,21037,9-10,56.493999999999915
694,21038,9-10,350.37499999999994
695,21039,9-10,369.895
696,21040,9-10,362.265
697,21041,9-10,19.653999999999996
698,22001,9-10,312.41200000000003
699,22002,9-10,335.982
700,22003,9-10,318.132
701,22004,9-10,312.222
702,22005,9-10,312.262
703,22006,9-10,312.262
704,22007,9-10,317.932
705,22008,9-10,318.902
706,22009,9-10,336.132
707,22010,9-10,318.442
708,22011,9-10,312.132
709,22012,9-10,312.10200000000003
710,22013,9-10,312.582
711,22014,9-10,30.995000000000005
712,22015,9-10,341.502
713,22016,9-10,323.392
714,22017,9-10,331.60200000000003
715,22018,9-10,318.242
716,22019,9-10,312.272
717,22020,9-10,318.732
718,22021,9-10,312.252
719,22022,9-10,312.222
720,22023,9-10,318.512
721,22024,9-10,348.942
722,22025,9-10,317.762
723,22026,9-10,381.862
724,22027,9-10,341.922
725,22028,9-10,26.444999999999936
726,22029,9-10,312.372
727,22030,9-10,25.404999999999973
728,22031,9-10,312.29200000000003
729,22032,9-10,318.272
730,22033,9-10,38.35500000000002
731,22034,9-10,318.422
732,22035,9-10,317.682
733,22036,9-10,317.682
734,22037,9-10,312.222
735,22038,9-10,317.79200000000003
736,22039,9-10,312.012
737,22040,9-10,312.482
738,22041,9-10,312.082
739,31001,9-10,522.014
740,31002,9-10,414.014
741,31003,9-10,536.274
742,31004,9-10,530.014
743,31005,9-10,419.604
744,31006,9-10,50.188999999999965
745,31007,9-10,522.014
746,31008,9-10,522.014
747,31009,9-10,533.124
748,31010,9-10,439.314
749,31011,9-10,582.974
750,31012,9-10,414.11400000000003
751,31013,9-10,528.154
752,31014,9-10,443.874
753,31015,9-10,473.944
754,31016,9-10,414.194
755,31017,9-10,484.814
756,31018,9-10,543.054
757,31019,9-10,543.054
758,31020,9-10,426.014
759,31021,9-10,530.014
760,31022,9-10,530.014
761,31023,9-10,413.954
762,31024,9-10,7.649000000000001
763,31025,9-10,522.014
764,31026,9-10,533.234
765,31027,9-10,543.054
766,31028,9-10,522.014
767,31029,9-10,522.014
768,31030,9-10,413.944
769,31031,9-10,419.654
770,31032,9-10,420.044
771,31033,9-10,545.264
772,31034,9-10,530.014
773,31035,9-10,420.144
774,31036,9-10,420.074
775,31037,9-10,530.014
776,31038,9-10,451.694
777,32001,9-10,343.4669999999999
778,32002,9-10,337.3569999999999
779,32003,9-10,337.81699999999995
780,32004,9-10,337.52699999999993
781,32005,9-10,349.00699999999995
782,32006,9-10,337.61699999999996
783,32007,9-10,337.5969999999999
784,32008,9-10,343.94699999999995
785,32009,9-10,343.50699999999995
786,32010,9-10,362.01699999999994
787,32011,9-10,157.8259999999999
788,32012,9-10,360.9269999999999
789,32013,9-10,152.37599999999998
790,32014,9-10,170.81599999999992
791,32015,9-10,670.8069999999999
792,32016,9-10,343.51699999999994
793,32017,9-10,343.51699999999994
794,32018,9-10,349.39699999999993
795,32019,9-10,385.81699999999995
796,32020,9-10,337.5969999999999
797,32021,9-10,146.61599999999999
798,32022,9-10,370.4069999999999
