sim,period,inter,direc,cycle,type,vspfast,vspslow,vspmass,vehicleslow,vehiclefast,avgspeed,avgaccel,avgTT
0,morning1,Bishop,NB,37,61,86.24844765329682,0.0,1980.0080277332693,0,1,52.091666666666704,0.021111111111111112,36.3
0,morning1,Bishop,NB,38,21,1813.4615230927984,425.1196417785376,3310.4138266117316,9,24,51.635540540540546,0.6474324324324328,43.24285714285714
0,morning1,Bishop,NB,38,52,86.50195769753094,4.701896171700399,778.7897081893664,1,2,51.94904761904761,0.21785714285714283,
0,morning1,Bishop,NB,39,21,2742.1872452699304,-80.75229831383837,3935.7299995586686,4,36,58.277319749216154,0.0254545454545455,32.975
0,morning1,Bishop,NB,39,52,11.493144262508121,0.0,98.13995885755685,0,1,50.34000000000002,0.0,40.9
0,morning1,Bishop,NB,40,21,3973.5607431650146,168.70500075365146,6125.582582106923,9,38,57.01450887573955,0.1097514792899411,37.53125000000001
0,morning1,Bishop,NB,40,42,1.7438487930113349,0.0,28.87116061709566,0,1,55.36,0.0,
0,morning1,Bishop,NB,41,21,3202.67803038609,1104.3660746926703,6369.256822590471,22,35,49.10533219761497,0.39224872231686536,53.67272727272728
0,morning1,Bishop,NB,41,61,75.40170084323705,91.46992691632991,3830.8766308819554,1,1,18.075625,0.8724999999999999,
0,morning1,Bishop,NB,41,42,13.298897428773195,64.0994211980949,1281.4065631864285,1,1,16.294285714285714,0.7557142857142857,56.8
0,morning1,Bishop,NB,42,21,1766.6650933554643,699.4919488310096,3646.9530339853573,14,27,50.371554878048734,0.49106707317073167,41.24666666666666
0,morning1,Bishop,NB,42,42,24.07501370170925,-61.02414962853314,-611.7298944044962,1,1,48.58638888888889,-0.2802777777777778,
0,morning1,Bishop,NB,43,21,2558.7097479713775,66.53193462600612,3882.2074002250106,6,31,58.024156079854855,0.08615245009074406,32.0625
0,morning1,Bishop,NB,43,42,0.0,50.88431473008718,842.4407146713235,1,0,17.598750000000003,1.26625,
0,morning1,Bishop,NB,44,21,3758.9088985127055,262.60959414390896,5947.021546940601,21,39,53.0257511737089,0.11365023474178379,44.01764705882353
0,morning1,Bishop,NB,44,42,44.69919476057679,12.161257266302961,941.3816437570212,2,2,37.33637681159419,-0.0721739130434782,
0,morning1,Bishop,NB,45,21,2592.324805483143,784.3649199168179,4993.448765921462,29,40,46.38975270479138,0.13723338485316827,50.87222222222222
0,morning1,Bishop,NB,45,42,0.0,62.88343544200329,1041.0981571778066,1,0,13.933076923076923,-0.029230769230769154,
0,morning1,Bishop,NB,46,21,2967.289405968341,1393.617342668994,6448.908899884891,30,43,35.19090128755362,-0.05293991416309014,62.355
0,morning1,Bishop,NB,47,21,1975.6401154118125,1012.2790317617685,4418.534834840291,29,31,41.41512552301258,0.38025104602510446,42.062962962962956
0,morning1,Bishop,NB,47,52,32.15445826245397,10.739564897518429,366.2720637630043,1,1,47.901538461538465,0.4207692307692307,
0,morning1,Bishop,SB,1,21,631.0919815937551,156.1054688200081,1164.107589671873,3,7,57.734606060606076,0.12957575757575762,63.050000000000004
0,morning1,Bishop,SB,1,61,0.0,56.699702269684806,1301.6566525968176,1,0,16.549999999999997,0.9299999999999999,72.6
0,morning1,Bishop,SB,2,21,1112.6757640830097,135.8556053814856,1846.3281891640952,2,11,59.17251700680263,0.07843537414965993,64.75
0,morning1,Bishop,SB,2,61,170.52253078417212,0.0,3914.6905138431007,0,1,64.3032352941176,0.11705882352941173,
0,morning1,Bishop,SB,2,42,14.027854219911918,0.0,232.2451544648617,0,1,49.12,0.0,
0,morning1,Bishop,SB,3,21,2161.699459073027,322.955400023242,3674.307605631562,5,19,59.115705128205185,0.3555128205128207,71.7
0,morning1,Bishop,SB,3,61,24.525037527630964,76.29098537586306,2314.4362606441537,1,1,19.30375,1.4425,68.9
0,morning1,Bishop,SB,3,42,22.44456675185906,0.0,371.59224714377865,0,1,49.12,0.0,53.0
0,morning1,Bishop,SB,4,21,2412.30481029091,899.7393419661827,4897.850892357788,15,32,47.338274999999975,0.418425,67.45
0,morning1,Bishop,SB,5,21,1997.0814946778503,1162.8922997751265,4672.9692472370625,19,27,43.52141439205945,0.2701488833746899,74.1
0,morning1,Bishop,SB,5,61,49.61116052072259,84.36557484670348,3075.70766517859,1,1,16.09357142857143,0.547142857142857,58.1
0,morning1,Bishop,SB,5,42,109.02298264320261,61.765584078505164,2827.575510644594,1,1,48.68307692307691,0.5130769230769231,66.3
0,morning1,Bishop,SB,5,52,38.069606709300956,41.90713932642649,682.9214343990766,2,1,35.37303030303029,0.48939393939393944,
0,morning1,Bishop,SB,6,21,2472.391346387256,564.8792111878896,4491.515700542125,14,23,51.17280254777059,0.12256900212314238,56.870000000000005
0,morning1,Bishop,SB,7,21,893.9948882093838,27.22296705309905,1362.2969643621595,4,8,58.47117241379313,0.19227586206896552,43.75
0,morning1,Bishop,SB,8,21,1733.5611943984418,63.07260221590924,2656.862058433302,3,14,61.5689417989418,0.07097883597883604,45.5
0,morning1,Bishop,SB,8,52,56.089591660880934,0.0,478.9490231922623,0,1,58.43068181818187,0.03636363636363637,44.9
0,morning1,Bishop,SB,8,61,121.45770431097557,0.0,2788.3079186827867,0,1,64.60756097560976,0.0007317073170731707,40.3
0,morning1,Bishop,SB,9,21,1741.8776671609874,219.27682358555094,2900.1552609159808,4,17,60.39516990291261,0.09560679611650484,56.480000000000004
0,morning1,Bishop,SB,10,21,666.9991338408206,642.3321745904806,1936.2391389082081,11,14,43.452340425531915,0.3624468085106383,57.06249999999999
0,morning1,Bishop,SB,10,42,75.66770603468163,25.194698938307706,1669.8779767328115,1,1,57.233333333333334,0.05047619047619051,
0,morning1,Bishop,SB,11,42,0.0,55.13828003894123,912.8693643247111,1,0,16.615555555555556,1.0188888888888892,66.6
0,morning1,Bishop,SB,11,21,489.83438837887866,130.3312375050781,917.1009275571952,4,8,51.138923076923064,0.5524615384615387,50.3
0,morning1,Bishop,SB,11,61,136.54786074062235,0.0,3134.7330623625676,0,2,48.527021276595704,0.06489361702127659,53.6
0,morning1,Bishop,SB,11,52,0.0,13.158132571364684,112.35729402688303,1,0,37.056666666666665,0.7633333333333333,
0,morning1,Bishop,SB,12,61,34.626154418282425,0.0,794.9135965128332,0,1,61.26,0.0,44.9
0,morning1,Bishop,SB,12,21,2559.1850011244483,280.6705937888492,4199.578453757784,6,30,58.60451239669421,0.1127768595041324,44.621052631578955
0,morning1,Bishop,SB,12,52,64.79262535500847,7.47899474559398,617.1273640390443,2,2,52.93962962962963,0.14777777777777776,47.25
0,morning1,Bishop,SB,13,21,1449.3696350026921,104.31770612280744,2297.592840056389,6,19,54.50211302211303,-0.03965601965601964,45.099999999999994
0,morning1,Bishop,SB,13,52,4.175856021889715,0.0,35.65763457091628,0,1,60.0775,0.0,
0,morning1,Bishop,SB,14,21,849.4550671465355,528.1864417480812,2037.256263353359,10,12,46.73256983240233,0.5169832402234638,74.17
0,morning1,Bishop,SB,14,52,77.05377818679962,31.28289766780778,925.0868751224925,1,2,52.524,0.22466666666666665,57.550000000000004
0,morning1,Bishop,SB,15,21,2759.5325906769995,0.0,4080.7967950931466,0,22,59.54678353658527,0.034862804878048784,
0,morning1,Bishop,SB,15,52,7.510110733717585,0.0,64.12883555521447,0,1,53.447692307692314,-0.03230769230769232,
0,morning1,Bishop,SB,15,61,139.61977891910854,0.0,3205.2551739997843,0,1,63.24586206896552,0.0993103448275862,
0,morning1,Bishop,SB,16,21,2293.2883612700994,1133.2023222387081,5067.094422772824,23,39,43.90019455252921,0.31147859922178983,83.54736842105265
