,period,inter,direc,cycle,type,pollutant,emi,sim,fuel
395,morning1,Sheldon,NB,8,21,Total Energy,5812950683.07,0,886.1995013014348
398,morning1,Sheldon,NB,7,21,Total Energy,3941596677.8,0,629.9501979846699
401,morning1,Sheldon,NB,6,21,Total Energy,4792413366.51,0,710.3575942196503
403,morning1,Sheldon,NB,5,21,Total Energy,5302714074.23,0,1000.8479624604033
405,morning1,Sheldon,NB,4,21,Total Energy,4324844339.05,0,846.7469573146927
408,morning1,Sheldon,NB,3,21,Total Energy,2914029541.6559997,0,373.8081919286978
410,morning1,Sheldon,NB,2,21,Total Energy,5655368584.05,0,702.9452611078253
413,morning1,Sheldon,NB,1,21,Total Energy,6489705934.639999,0,994.6364080838116
416,morning1,Sheldon,SB,40,21,Total Energy,3839241260.74,0,261.0693170351298
419,morning1,Sheldon,SB,39,21,Total Energy,3670621380.059,0,346.8880523291942
420,morning1,Sheldon,SB,38,21,Total Energy,3809675865.57,0,514.2624559715665
423,morning1,Sheldon,SB,37,21,Total Energy,4955812354.08,0,214.6181655846957
425,morning1,Sheldon,SB,36,21,Total Energy,4349760170.49,0,770.7077436163958
428,morning1,Sheldon,SB,35,21,Total Energy,2011344956.992,0,194.34136747352304
432,morning1,Sheldon,SB,34,21,Total Energy,2456828117.13,0,290.87626726740217
435,morning1,Sheldon,SB,33,21,Total Energy,2807561979.891,0,542.1149362656402
438,morning1,Sheldon,SB,32,21,Total Energy,3410317247.222,0,187.63247249514438
441,morning1,Sheldon,SB,31,21,Total Energy,4350455940.66,0,311.98506034839613
444,morning1,Sheldon,SB,30,21,Total Energy,2827511124.041,0,400.3748235009402
447,morning1,Sheldon,SB,29,21,Total Energy,4856300215.01,0,307.8314041688009
450,morning1,Sheldon,SB,28,21,Total Energy,3717396532.9579997,0,725.9427917507373
451,morning1,Sheldon,SB,27,21,Total Energy,3071275814.1670003,0,210.73939738511052
453,morning1,Sheldon,SB,26,21,Total Energy,4154355831.5,0,511.5833817139663
456,morning1,Sheldon,SB,25,21,Total Energy,2501372225.8589997,0,414.55636758073916
458,morning1,Sheldon,SB,24,21,Total Energy,2752661952.556,0,419.08333949396365
462,morning1,Sheldon,SB,23,21,Total Energy,4033347886.81,0,213.42456157128876
466,morning1,Sheldon,SB,22,21,Total Energy,4947745641.389999,0,475.5177436606894
469,morning1,Sheldon,SB,21,21,Total Energy,4571025488.95,0,272.94218937287417
472,morning1,Sheldon,SB,20,21,Total Energy,4148957670.66,0,430.06507448145754
474,morning1,Sheldon,SB,19,21,Total Energy,3063182813.521,0,290.28340848714214
476,morning1,Sheldon,SB,18,21,Total Energy,3655993307.01,0,290.5435784082207
479,morning1,Sheldon,SB,17,21,Total Energy,1980124382.369,0,383.8486232541112
482,morning1,Sheldon,SB,16,21,Total Energy,3354488427.228,0,535.5480394163446
486,morning1,Sheldon,SB,15,21,Total Energy,3686852099.971,0,191.67055793176624
489,morning1,Sheldon,SB,14,21,Total Energy,4752463568.360001,0,714.1771874299013
492,morning1,Sheldon,SB,13,21,Total Energy,4218679658.66,0,282.0254546701109
495,morning1,Sheldon,SB,12,21,Total Energy,7027718280.389999,0,318.9533727395284
498,morning1,Sheldon,SB,11,21,Total Energy,4560064456.96,0,619.1802798477843
502,morning1,Sheldon,SB,10,21,Total Energy,2056568314.171,0,261.3551421003337
505,morning1,Sheldon,SB,9,21,Total Energy,5879608912.04,0,437.84160858528435
509,morning1,Sheldon,SB,8,21,Total Energy,2624447555.5829997,0,177.98343128979138
511,morning1,Sheldon,SB,7,21,Total Energy,2022439143.147,0,343.7451419678337
514,morning1,Sheldon,SB,6,21,Total Energy,2616294659.4700003,0,218.3775186756911
516,morning1,Sheldon,SB,5,21,Total Energy,3388753311.485,0,319.0480639456222
517,morning1,Sheldon,SB,4,21,Total Energy,3484360586.689,0,614.1816898218658
521,morning1,Sheldon,SB,3,21,Total Energy,3708083123.962,0,209.81601783595426
522,morning1,Sheldon,SB,2,21,Total Energy,4187852066.53,0,192.57857402810157
525,morning1,Sheldon,SB,1,21,Total Energy,3097479746.596,0,346.0492352789615
526,morning1,Pinebush,NB,28,21,Total Energy,6907994011.940001,0,334.3399731801127
530,morning1,Pinebush,NB,27,21,Total Energy,8921207253.65,0,387.7303057166465
533,morning1,Pinebush,NB,26,21,Total Energy,9920839810.6,0,605.4968677427115
534,morning1,Pinebush,NB,25,21,Total Energy,7972263760.54,0,414.1602751564924
537,morning1,Pinebush,NB,24,21,Total Energy,10555282330.11,0,439.84901035625563
540,morning1,Pinebush,NB,23,21,Total Energy,3534194468.2190003,0,252.7990909304491
543,morning1,Pinebush,NB,22,21,Total Energy,3588285674.9009995,0,275.56968461270617
545,morning1,Pinebush,NB,21,21,Total Energy,7964659656.66,0,319.91181018215354
