sim,period,inter,direc,cycle,type,fuel
0,morning1,Sheldon,SB,12,52,27.59905784148334
0,morning1,Sheldon,SB,13,21,282.0254546701109
0,morning1,Sheldon,SB,13,52,3.2798595415624057
0,morning1,Sheldon,SB,13,61,11.539473368780639
0,morning1,Sheldon,SB,14,21,714.1771874299013
0,morning1,Sheldon,SB,14,42,17.903130861612294
0,morning1,Sheldon,SB,14,61,16.301387661292654
0,morning1,Sheldon,SB,15,21,191.67055793176624
0,morning1,Sheldon,SB,15,42,6.2760892822047545
0,morning1,Sheldon,SB,15,61,5.992585736228499
0,morning1,Sheldon,SB,15,52,68.81416416488003
0,morning1,Sheldon,SB,16,21,535.5480394163446
0,morning1,Sheldon,SB,16,61,26.17652365084769
0,morning1,Sheldon,SB,16,42,12.721478024436815
0,morning1,Sheldon,SB,17,42,6.581958750644638
0,morning1,Sheldon,SB,17,21,383.8486232541112
0,morning1,Sheldon,SB,17,52,24.92139005240791
0,morning1,Sheldon,SB,18,21,290.5435784082207
0,morning1,Sheldon,SB,18,52,4.698585017348379
0,morning1,Sheldon,SB,19,21,290.2834084871421
0,morning1,Sheldon,SB,19,61,46.47441165971514
0,morning1,Sheldon,SB,20,61,32.92542355266924
0,morning1,Sheldon,SB,20,21,430.0650744814575
0,morning1,Sheldon,SB,20,42,52.178985935785875
0,morning1,Sheldon,SB,21,21,272.9421893728742
0,morning1,Sheldon,SB,21,42,30.779779417795783
0,morning1,Sheldon,SB,21,61,45.634561124713116
0,morning1,Sheldon,SB,22,21,475.51774366068935
0,morning1,Sheldon,SB,22,61,65.17485258483849
0,morning1,Sheldon,SB,22,42,0.9017433207688271
0,morning1,Sheldon,SB,22,52,1.2759264687857552
0,morning1,Sheldon,SB,23,21,213.42456157128873
0,morning1,Sheldon,SB,23,61,38.35961365938593
0,morning1,Sheldon,SB,23,42,14.949667562680188
0,morning1,Sheldon,SB,23,52,6.705233628680645
0,morning1,Sheldon,SB,24,21,419.0833394939636
0,morning1,Sheldon,SB,24,61,68.15061051449273
0,morning1,Sheldon,SB,25,21,414.55636758073905
0,morning1,Sheldon,SB,25,61,105.46656732695085
0,morning1,Sheldon,SB,25,52,44.33975420009726
0,morning1,Sheldon,SB,26,21,511.5833817139663
0,morning1,Sheldon,SB,26,52,2.5666872324219216
0,morning1,Sheldon,SB,27,21,210.7393973851105
0,morning1,Sheldon,SB,28,21,725.9427917507372
0,morning1,Sheldon,SB,28,61,66.23781105249486
0,morning1,Sheldon,SB,28,52,34.83713119334929
0,morning1,Sheldon,SB,29,21,307.8314041688009
0,morning1,Sheldon,SB,29,61,27.078271764287614
0,morning1,Sheldon,SB,29,52,4.821940845373333
0,morning1,Sheldon,SB,30,21,400.3748235009402
0,morning1,Sheldon,SB,30,52,33.41222731683133
0,morning1,Sheldon,SB,30,42,13.981415845793691
0,morning1,Sheldon,SB,31,21,311.98506034839613
0,morning1,Sheldon,SB,31,42,3.7186981506995753
0,morning1,Sheldon,SB,31,52,48.4466164144678
0,morning1,Sheldon,SB,32,52,14.907566544336184
0,morning1,Sheldon,SB,32,21,187.63247249514433
0,morning1,Sheldon,SB,32,61,10.947197097786216
0,morning1,Sheldon,SB,33,21,542.1149362656402
0,morning1,Sheldon,SB,33,61,36.7643928058976
0,morning1,Sheldon,SB,33,52,31.867930897768215
0,morning1,Sheldon,SB,34,61,3.0518922206985994
0,morning1,Sheldon,SB,34,21,290.87626726740217
0,morning1,Sheldon,SB,34,52,29.361114006138113
0,morning1,Sheldon,SB,34,42,25.414591686877696
0,morning1,Sheldon,SB,35,21,194.34136747352306
0,morning1,Sheldon,SB,35,42,5.39740404146394
0,morning1,Sheldon,SB,35,52,2.9783965495276234
0,morning1,Sheldon,SB,36,21,770.7077436163958
0,morning1,Sheldon,SB,36,52,53.85180380037519
0,morning1,Sheldon,SB,37,21,214.61816558469567
0,morning1,Sheldon,SB,37,52,42.412368667024666
0,morning1,Sheldon,SB,37,61,4.876621395347184
0,morning1,Sheldon,SB,38,21,514.2624559715665
0,morning1,Sheldon,SB,39,21,346.8880523291942
